"Date","Price","Open","High","Low","Vol.","Change %"
"07/20/2024","0.134242","0.125473","0.135723","0.124327","2.48B","6.99%"
"07/19/2024","0.125473","0.119541","0.125990","0.117534","1.73B","4.96%"
"07/18/2024","0.119540","0.121782","0.123810","0.117235","1.65B","-1.84%"
"07/17/2024","0.121783","0.124781","0.127543","0.120392","1.65B","-2.41%"
"07/16/2024","0.124786","0.124890","0.127570","0.119090","2.08B","-0.10%"
"07/15/2024","0.124911","0.115427","0.125393","0.114598","1.94B","8.21%"
"07/14/2024","0.115437","0.112294","0.116825","0.111171","1.52B","2.80%"
"07/13/2024","0.112298","0.107661","0.112889","0.107296","1.41B","4.32%"
"07/12/2024","0.107650","0.106633","0.108296","0.104917","1.29B","0.95%"
"07/11/2024","0.106634","0.108001","0.112287","0.106191","1.40B","-1.28%"
"07/10/2024","0.108018","0.107540","0.110481","0.105807","1.48B","0.43%"
"07/09/2024","0.107558","0.107574","0.109357","0.105887","1.55B","-0.05%"
"07/08/2024","0.107609","0.104119","0.111176","0.098895","2.57B","3.34%"
"07/07/2024","0.104132","0.113460","0.113466","0.103649","1.68B","-8.25%"
"07/06/2024","0.113500","0.105457","0.114124","0.104777","2.08B","7.64%"
"07/05/2024","0.105447","0.104933","0.106529","0.092635","4.65B","0.50%"
"07/04/2024","0.104926","0.118472","0.119096","0.104001","2.93B","-11.44%"
"07/03/2024","0.118480","0.125251","0.125517","0.117026","1.49B","-5.40%"
"07/02/2024","0.125237","0.123491","0.125295","0.122519","753.53M","1.41%"
"07/01/2024","0.123492","0.124428","0.127425","0.123286","648.84M","-0.76%"
"06/30/2024","0.124432","0.121851","0.125579","0.120483","479.49M","2.12%"
"06/29/2024","0.121851","0.123004","0.124332","0.121445","348.04M","-0.94%"
"06/28/2024","0.123004","0.127055","0.128351","0.122315","1.12B","-3.19%"
"06/27/2024","0.127054","0.122737","0.128243","0.120637","1.17B","3.53%"
"06/26/2024","0.122722","0.126151","0.128604","0.121867","914.50M","-2.72%"
"06/25/2024","0.126148","0.119001","0.128313","0.118836","1.46B","6.00%"
"06/24/2024","0.119002","0.122182","0.123893","0.114531","1.80B","-2.60%"
"06/23/2024","0.122182","0.123756","0.126249","0.121592","699.27M","-1.27%"
"06/22/2024","0.123760","0.124141","0.125519","0.122932","537.25M","-0.31%"
"06/21/2024","0.124141","0.124502","0.125656","0.121457","1.03B","-0.29%"
"06/20/2024","0.124501","0.122474","0.128472","0.121427","1.22B","1.65%"
"06/19/2024","0.122474","0.122231","0.126620","0.121445","1.21B","0.20%"
"06/18/2024","0.122231","0.128779","0.129195","0.114298","3.07B","-5.09%"
"06/17/2024","0.128789","0.137118","0.138141","0.126215","2.02B","-6.07%"
"06/16/2024","0.137119","0.136764","0.137510","0.134813","690.55M","0.26%"
"06/15/2024","0.136763","0.134989","0.137427","0.134231","954.65M","1.31%"
"06/14/2024","0.134999","0.141066","0.143355","0.132085","1.66B","-4.29%"
"06/13/2024","0.141053","0.146210","0.146421","0.140395","1.41B","-3.53%"
"06/12/2024","0.146211","0.138097","0.150475","0.134783","2.33B","5.87%"
"06/11/2024","0.138102","0.144760","0.145109","0.134090","2.12B","-4.60%"
"06/10/2024","0.144757","0.146798","0.147827","0.143356","932.14M","-1.39%"
"06/09/2024","0.146795","0.145898","0.149130","0.145057","817.38M","0.62%"
"06/08/2024","0.145895","0.148209","0.148692","0.143890","1.30B","-1.58%"
"06/07/2024","0.148234","0.160149","0.162103","0.142393","2.37B","-7.44%"
"06/06/2024","0.160149","0.163235","0.165473","0.158504","1.37B","-1.88%"
"06/05/2024","0.163225","0.161385","0.164745","0.161223","1.19B","1.14%"
"06/04/2024","0.161385","0.158384","0.161790","0.157104","1.11B","1.89%"
"06/03/2024","0.158384","0.157165","0.163350","0.155884","1.42B","0.77%"
"06/02/2024","0.157177","0.160314","0.161308","0.154822","887.98M","-1.96%"
"06/01/2024","0.160316","0.158970","0.161592","0.158429","723.74M","0.84%"
"05/31/2024","0.158988","0.159467","0.162414","0.154371","1.42B","-0.31%"
"05/30/2024","0.159481","0.163834","0.165635","0.156622","2.22B","-2.66%"
"05/29/2024","0.163836","0.164934","0.170558","0.162226","2.18B","-0.67%"
"05/28/2024","0.164947","0.169086","0.169675","0.161851","1.98B","-2.44%"
