"Date","Price","Open","High","Low","Vol.","Change %"
"07/19/2024","40,287.53","40,592.35","40,626.16","40,203.27","354.44M","-0.93%"
"07/18/2024","40,665.02","41,156.56","41,376.00","40,597.50","398.29M","-1.29%"
"07/17/2024","41,198.08","40,862.57","41,221.98","40,849.71","438.86M","0.59%"
"07/16/2024","40,954.48","40,263.78","40,988.81","40,263.78","313.52M","1.85%"
"07/15/2024","40,211.72","40,138.40","40,351.10","40,136.10","322.33M","0.53%"
"07/12/2024","40,000.90","39,783.28","40,257.24","39,783.28","329.07M","0.62%"
"07/11/2024","39,753.75","39,695.18","39,875.60","39,623.12","363.85M","0.08%"
"07/10/2024","39,721.36","39,272.45","39,736.20","39,256.72","336.92M","1.09%"
"07/09/2024","39,291.97","39,357.37","39,492.28","39,146.60","365.56M","-0.13%"
"07/08/2024","39,344.79","39,391.98","39,654.96","39,278.43","364.05M","-0.08%"
"07/05/2024","39,375.87","39,313.40","39,399.62","39,168.70","331.49M","0.17%"
"07/03/2024","39,308.00","39,358.95","39,411.17","39,230.86","202.07M","-0.06%"
"07/02/2024","39,331.85","39,108.25","39,340.49","39,085.69","325.02M","0.41%"
"07/01/2024","39,169.52","39,186.20","39,438.36","39,037.94","353.38M","0.13%"
"06/28/2024","39,118.86","39,092.39","39,443.60","38,937.15","688.50M","-0.12%"
"06/27/2024","39,164.06","39,107.10","39,250.69","39,026.75","352.60M","0.09%"
"06/26/2024","39,127.80","39,063.15","39,183.74","38,908.99","340.84M","0.04%"
"06/25/2024","39,112.16","39,398.79","39,423.26","38,997.23","344.64M","-0.76%"
"06/24/2024","39,411.21","39,184.49","39,571.23","39,184.49","387.00M","0.67%"
"06/21/2024","39,150.33","39,208.51","39,257.18","39,061.67","838.54M","0.04%"
"06/20/2024","39,134.76","38,804.73","39,232.50","38,778.46","404.72M","0.77%"
"06/18/2024","38,834.86","38,779.12","38,936.93","38,727.67","327.60M","0.15%"
"06/17/2024","38,778.10","38,565.18","38,839.88","38,431.95","351.11M","0.49%"
"06/14/2024","38,589.16","38,528.39","38,595.24","38,305.85","275.11M","-0.15%"
"06/13/2024","38,647.10","38,677.12","38,712.21","38,407.70","343.99M","-0.17%"
"06/12/2024","38,712.21","38,950.65","39,120.26","38,621.45","477.29M","-0.09%"
"06/11/2024","38,747.42","38,795.71","38,795.71","38,446.24","388.66M","-0.31%"
"06/10/2024","38,868.04","38,784.90","38,877.86","38,665.45","336.86M","0.18%"
"06/07/2024","38,798.99","38,861.24","39,105.23","38,751.85","272.34M","-0.22%"
"06/06/2024","38,886.17","38,825.40","39,004.16","38,735.99","270.19M","0.20%"
"06/05/2024","38,807.33","38,774.82","38,844.32","38,548.77","315.04M","0.25%"
"06/04/2024","38,711.29","38,518.86","38,786.62","38,397.82","312.99M","0.36%"
"06/03/2024","38,571.03","38,709.99","38,735.61","38,247.22","320.21M","-0.30%"
"05/31/2024","38,686.32","38,140.26","38,719.43","38,092.27","624.93M","1.51%"
"05/30/2024","38,111.48","38,368.35","38,493.60","38,000.96","365.27M","-0.86%"
"05/29/2024","38,441.54","38,716.28","38,716.28","38,413.67","294.72M","-1.06%"
"05/28/2024","38,852.86","39,028.99","39,028.99","38,706.14","306.72M","-0.55%"
"05/24/2024","39,069.59","39,089.23","39,220.31","39,020.29","254.83M","0.01%"
"05/23/2024","39,065.26","39,694.95","39,694.95","39,025.51","338.76M","-1.53%"
"05/22/2024","39,671.04","39,863.33","39,890.91","39,559.09","260.94M","-0.51%"
"05/21/2024","39,872.99","39,804.40","39,905.80","39,778.73","318.22M","0.17%"
"05/20/2024","39,806.77","39,989.76","40,077.40","39,787.09","275.31M","-0.49%"
"05/17/2024","40,003.59","39,911.72","40,010.88","39,858.86","305.08M","0.34%"
"05/16/2024","39,869.38","39,912.34","40,051.05","39,864.68","404.94M","-0.10%"
"05/15/2024","39,908.00","39,615.10","39,935.04","39,615.10","424.32M","0.88%"
"05/14/2024","39,558.11","39,466.76","39,616.41","39,371.92","326.25M","0.32%"
"05/13/2024","39,431.51","39,591.28","39,647.39","39,403.05","325.23M","-0.21%"
"05/10/2024","39,512.84","39,466.52","39,579.88","39,406.26","291.49M","0.32%"
"05/09/2024","39,387.76","39,064.27","39,413.66","38,988.85","307.17M","0.85%"
"05/08/2024","39,056.39","38,818.90","39,094.74","38,814.99","292.35M","0.44%"
"05/07/2024","38,884.26","38,858.94","38,977.61","38,840.40","366.81M","0.08%"
"05/06/2024","38,852.27","38,762.43","38,886.47","38,689.38","319.43M","0.46%"
"05/03/2024","38,675.68","38,709.36","38,805.21","38,521.28","400.95M","1.18%"
"05/02/2024","38,225.86","38,075.65","38,294.73","37,895.66","348.19M","0.85%"
"05/01/2024","37,902.57","37,845.56","38,348.65","37,789.93","408.59M","0.23%"
"04/30/2024","37,815.85","38,337.40","38,337.40","37,812.07","417.17M","-1.49%"
"04/29/2024","38,386.09","38,282.16","38,406.20","38,215.47","345.68M","0.38%"
"04/26/2024","38,239.66","38,114.70","38,337.64","38,065.05","401.46M","0.40%"
"04/25/2024","38,085.80","38,052.09","38,157.22","37,754.38","417.16M","-0.98%"
"04/24/2024","38,460.92","38,552.79","38,552.79","38,310.55","342.89M","-0.11%"
"04/23/2024","38,503.69","38,356.07","38,561.50","38,297.72","329.42M","0.69%"
"04/22/2024","38,240.57","38,116.89","38,447.05","37,985.07","339.29M","0.67%"
"04/19/2024","37,986.53","37,801.98","38,101.92","37,781.61","407.00M","0.55%"
"04/18/2024","37,778.21","37,847.21","38,082.96","37,682.83","291.61M","0.07%"
"04/17/2024","37,753.37","37,949.67","38,028.80","37,611.95","310.47M","-0.12%"
"04/16/2024","37,798.77","37,992.22","37,992.22","37,716.97","323.70M","0.17%"
"04/15/2024","37,735.24","38,319.68","38,380.31","37,657.79","374.40M","-0.65%"
"04/12/2024","37,983.24","38,218.12","38,290.51","37,877.70","426.71M","-1.24%"
"04/11/2024","38,459.08","38,523.26","38,598.98","38,198.07","346.13M","-0.01%"
"04/10/2024","38,461.51","38,662.28","38,662.28","38,305.51","312.68M","-1.09%"
"04/09/2024","38,883.94","38,983.66","38,990.29","38,572.44","324.79M","-0.02%"
"04/08/2024","38,892.80","38,916.42","39,013.20","38,859.45","281.00M","-0.03%"
"04/05/2024","38,904.10","38,673.00","39,040.03","38,602.18","310.97M","0.79%"
"04/04/2024","38,597.30","39,343.60","39,420.48","38,560.89","347.12M","-1.35%"
"04/03/2024","39,127.01","39,139.59","39,305.13","39,027.01","354.33M","-0.11%"
"04/02/2024","39,171.22","39,256.27","39,256.27","39,054.77","306.77M","-1.00%"
"04/01/2024","39,566.85","39,807.93","39,813.07","39,491.38","267.48M","-0.60%"
"03/28/2024","39,807.18","39,763.74","39,867.88","39,718.41","338.82M","0.12%"
"03/27/2024","39,760.41","39,461.98","39,766.40","39,461.98","321.54M","1.22%"
"03/26/2024","39,282.59","39,338.32","39,438.24","39,278.86","294.97M","-0.08%"
"03/25/2024","39,313.77","39,410.54","39,430.17","39,296.91","309.47M","-0.41%"
"03/22/2024","39,475.64","39,774.06","39,823.70","39,469.53","316.21M","-0.77%"
"03/21/2024","39,781.50","39,661.03","39,887.48","39,591.13","386.08M","0.68%"
"03/20/2024","39,512.13","39,072.05","39,527.63","38,990.34","338.76M","1.03%"
"03/19/2024","39,110.21","38,834.25","39,122.07","38,761.52","295.74M","0.82%"
"03/18/2024","38,790.43","38,826.93","38,898.12","38,763.60","322.70M","0.20%"
"03/15/2024","38,714.77","38,809.65","38,923.02","38,618.22","688.90M","-0.49%"
"03/14/2024","38,905.92","39,139.70","39,160.25","38,705.03","368.38M","-0.35%"
"03/13/2024","39,043.39","39,090.03","39,200.67","38,938.52","323.36M","0.10%"
"03/12/2024","39,005.40","38,860.49","39,071.04","38,715.84","317.39M","0.61%"
"03/11/2024","38,769.73","38,667.21","38,794.21","38,483.57","294.08M","0.12%"
"03/08/2024","38,723.15","38,776.80","38,968.54","38,706.94","337.24M","-0.18%"
"03/07/2024","38,791.35","38,784.30","38,909.97","38,731.00","331.71M","0.34%"
"03/06/2024","38,661.12","38,721.15","38,857.94","38,571.23","338.93M","0.20%"
"03/05/2024","38,585.19","38,906.98","38,906.98","38,457.83","386.72M","-1.04%"
"03/04/2024","38,989.83","38,946.01","39,087.40","38,915.86","381.58M","-0.25%"
"03/01/2024","39,087.38","38,989.51","39,119.69","38,852.99","324.51M","0.23%"
"02/29/2024","38,995.93","39,013.75","39,071.10","38,810.84","468.47M","0.12%"
"02/28/2024","38,949.29","38,938.08","38,952.63","38,741.87","263.37M","-0.06%"
"02/27/2024","38,972.74","39,087.90","39,087.90","38,881.90","266.84M","-0.25%"
"02/26/2024","39,069.30","39,165.13","39,245.89","39,025.80","284.35M","-0.16%"
"02/23/2024","39,131.53","39,127.97","39,281.95","39,094.70","280.88M","0.16%"
"02/22/2024","39,068.98","38,852.13","39,148.51","38,802.72","316.71M","1.18%"
"02/21/2024","38,612.18","38,491.20","38,618.03","38,339.57","268.12M","0.12%"
"02/20/2024","38,564.03","38,552.00","38,658.66","38,461.97","314.61M","-0.17%"
"02/16/2024","38,627.99","38,751.71","38,824.83","38,585.75","274.75M","-0.37%"
"02/15/2024","38,773.12","38,397.94","38,780.33","38,397.94","300.35M","0.91%"
"02/14/2024","38,423.68","38,372.67","38,439.86","38,195.38","265.90M","0.40%"
"02/13/2024","38,272.49","38,699.17","38,699.17","38,041.33","305.80M","-1.35%"
"02/12/2024","38,797.90","38,656.76","38,926.41","38,628.92","260.66M","0.33%"
"02/09/2024","38,671.30","38,731.97","38,733.06","38,568.22","294.58M","-0.14%"
"02/08/2024","38,726.13","38,702.11","38,752.42","38,545.04","303.22M","0.13%"
"02/07/2024","38,677.36","38,613.89","38,748.11","38,572.90","291.14M","0.41%"
"02/06/2024","38,520.96","38,380.75","38,543.49","38,353.07","265.39M","0.37%"
"02/05/2024","38,379.59","38,546.77","38,633.88","38,222.00","310.70M","-0.71%"
"02/02/2024","38,654.62","38,448.10","38,782.19","38,336.84","372.10M","0.35%"
"02/01/2024","38,519.77","38,175.34","38,520.24","38,106.84","311.72M","0.97%"
"01/31/2024","38,150.30","38,426.78","38,588.11","38,144.33","426.28M","-0.82%"
"01/30/2024","38,467.38","38,298.23","38,496.85","38,257.81","310.77M","0.35%"
"01/29/2024","38,333.26","38,111.53","38,343.31","38,061.38","303.11M","0.59%"
"01/26/2024","38,109.43","38,006.68","38,214.59","37,997.77","383.41M","0.16%"
"01/25/2024","38,049.13","37,862.57","38,052.03","37,798.00","390.44M","0.64%"
"01/24/2024","37,806.52","37,975.37","38,063.60","37,796.70","329.69M","-0.26%"
"01/23/2024","37,905.51","37,959.79","37,974.71","37,805.67","330.60M","-0.25%"
"01/22/2024","38,001.81","37,947.33","38,109.17","37,916.96","325.98M","0.37%"
"01/19/2024","37,863.60","37,611.50","37,926.50","37,451.71","362.99M","1.05%"
"01/18/2024","37,468.68","37,191.75","37,519.99","37,127.81","331.08M","0.54%"
"01/17/2024","37,266.67","37,281.86","37,371.64","37,132.89","282.57M","-0.25%"
"01/16/2024","37,360.99","37,498.37","37,539.68","37,201.54","363.47M","-0.62%"
"01/12/2024","37,593.24","37,818.05","37,821.76","37,473.13","269.52M","-0.31%"
"01/11/2024","37,711.15","37,747.14","37,799.11","37,424.28","295.94M","0.04%"
"01/10/2024","37,695.67","37,552.91","37,740.73","37,524.85","274.73M","0.45%"
"01/09/2024","37,525.10","37,473.90","37,552.22","37,373.42","282.70M","-0.42%"
"01/08/2024","37,683.01","37,321.12","37,691.62","37,249.49","355.60M","0.58%"
"01/05/2024","37,466.11","37,438.56","37,622.31","37,324.25","294.55M","0.07%"
"01/04/2024","37,440.34","37,425.28","37,716.40","37,425.28","366.61M","0.03%"
