"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 19, 2024","104.112","103.880","104.135","103.855","8.81K","0.22%"
"Jul 18, 2024","103.885","103.380","103.935","103.375","14.86K","0.43%"
"Jul 17, 2024","103.443","103.900","103.985","103.340","22.16K","-0.50%"
"Jul 16, 2024","103.959","103.955","104.200","103.890","13.12K","0.07%"
"Jul 15, 2024","103.882","103.870","104.005","103.690","21.26K","-0.10%"
"Jul 14, 2024","103.985","103.935","104.005","103.920","-","0.19%"
"Jul 12, 2024","103.783","104.040","104.265","103.725","15.94K","-0.33%"
"Jul 11, 2024","104.131","104.685","104.700","103.775","36.15K","-0.57%"
"Jul 10, 2024","104.729","104.795","104.855","104.680","8.01K","-0.07%"
"Jul 09, 2024","104.807","104.665","104.890","104.625","9.86K","0.13%"
"Jul 08, 2024","104.668","104.655","104.705","104.475","10.46K","0.11%"
"Jul 05, 2024","104.548","104.850","104.855","104.500","12.49K","-0.50%"
"Jul 04, 2024","105.077","105.005","105.040","104.785","3.14K","0.00%"
"Jul 03, 2024","105.077","105.360","105.485","104.715","14.50K","-0.31%"
"Jul 02, 2024","105.407","105.535","105.740","105.360","11.59K","-0.17%"
"Jul 01, 2024","105.587","105.395","105.655","105.105","18.38K","0.04%"
"Jun 28, 2024","105.545","105.565","105.800","105.415","11.99K","-0.02%"
"Jun 27, 2024","105.571","105.740","105.760","105.375","9.85K","-0.14%"
"Jun 26, 2024","105.714","105.335","105.790","105.265","10.62K","0.43%"
"Jun 25, 2024","105.259","105.175","105.430","105.030","8.35K","0.13%"
"Jun 24, 2024","105.121","105.495","105.555","105.015","9.01K","-0.31%"
"Jun 21, 2024","105.443","105.295","105.560","105.180","9.48K","0.21%"
"Jun 20, 2024","105.227","104.865","105.315","104.865","12.50K","0.33%"
"Jun 19, 2024","104.876","104.890","104.955","104.785","3.22K","0.00%"
"Jun 18, 2024","104.876","104.900","105.180","104.735","13.07K","-0.65%"
"Jun 17, 2024","105.564","105.535","105.625","105.530","0.24K","0.02%"
"Jun 14, 2024","105.545","105.250","105.805","105.185","14.16K","0.34%"
"Jun 13, 2024","105.187","104.685","105.280","104.630","35.09K","0.55%"
"Jun 12, 2024","104.615","105.255","105.300","104.235","34.72K","-0.56%"
"Jun 11, 2024","105.199","105.125","105.435","105.065","13.29K","0.08%"
"Jun 10, 2024","105.112","105.015","105.355","105.005","21.09K","0.25%"
"Jun 07, 2024","104.855","104.085","104.915","103.480","24.32K","0.77%"
"Jun 06, 2024","104.057","104.230","104.330","104.015","15.73K","-0.16%"
"Jun 05, 2024","104.221","104.110","104.405","104.075","13.91K","0.16%"
"Jun 04, 2024","104.051","104.005","104.285","103.935","16.44K","-0.03%"
"Jun 03, 2024","104.078","104.565","104.720","103.990","20.75K","-0.52%"
"May 31, 2024","104.627","104.730","104.850","104.310","13.90K","-0.03%"
"May 30, 2024","104.658","105.095","105.135","104.575","17.83K","-0.36%"
"May 29, 2024","105.034","104.590","105.085","104.515","17.66K","0.47%"
"May 28, 2024","104.539","104.490","104.560","104.260","11.02K","-0.09%"
"May 27, 2024","104.638","104.645","104.670","104.485","3.09K","0.00%"
"May 24, 2024","104.638","104.990","105.050","104.550","10.42K","-0.38%"
"May 23, 2024","105.036","104.840","105.040","104.475","15.07K","0.19%"
"May 22, 2024","104.836","104.535","104.880","104.450","13.22K","0.27%"
"May 21, 2024","104.556","104.490","104.670","104.365","12.27K","0.09%"
"May 20, 2024","104.460","104.370","104.540","104.290","8.81K","0.12%"
"May 17, 2024","104.330","104.390","104.685","104.280","11.71K","-0.01%"
"May 16, 2024","104.345","104.105","104.500","103.965","15.31K","0.13%"
"May 15, 2024","104.212","104.935","104.940","104.155","20.95K","-0.65%"
"May 14, 2024","104.892","105.070","105.380","104.835","9.57K","-0.20%"
"May 13, 2024","105.103","105.170","105.240","104.925","6.97K","-0.07%"
"May 10, 2024","105.175","105.085","105.280","105.010","12.69K","0.07%"
"May 09, 2024","105.104","105.410","105.640","105.065","12.64K","-0.31%"
"May 08, 2024","105.426","105.300","105.535","105.280","8.46K","0.12%"
"May 07, 2024","105.300","105.015","105.330","104.920","9.95K","0.36%"
"May 06, 2024","104.919","104.890","105.075","104.745","8.71K","0.00%"
"May 03, 2024","104.918","105.175","105.245","104.410","26.27K","-0.25%"
"May 02, 2024","105.178","105.590","105.785","105.170","18.59K","-0.43%"
"May 01, 2024","105.628","106.210","106.380","105.315","30.65K","-0.44%"
"Apr 30, 2024","106.100","105.560","106.215","105.540","17.35K","0.62%"
"Apr 29, 2024","105.448","105.880","106.005","105.330","26.82K","-0.34%"
"Apr 26, 2024","105.804","105.455","106.060","105.270","19.70K","0.33%"
"Apr 25, 2024","105.451","105.675","105.870","105.330","14.87K","-0.24%"
"Apr 24, 2024","105.700","105.520","105.790","105.425","8.18K","0.18%"
"Apr 23, 2024","105.505","105.960","106.075","105.445","17.74K","-0.39%"
"Apr 22, 2024","105.913","105.885","106.235","105.825","13.35K","-0.07%"
"Apr 19, 2024","105.984","106.000","106.185","105.670","16.55K","0.00%"
"Apr 18, 2024","105.982","105.790","106.010","105.570","13.62K","0.21%"
"Apr 17, 2024","105.764","106.160","106.255","105.685","15.88K","-0.28%"
"Apr 16, 2024","106.065","105.990","106.325","105.870","16.57K","0.06%"
"Apr 15, 2024","105.998","105.830","106.045","105.640","12.78K","0.16%"
"Apr 12, 2024","105.832","105.070","105.900","105.025","15.71K","0.73%"
"Apr 11, 2024","105.064","105.010","105.310","104.820","18.47K","0.03%"
"Apr 10, 2024","105.031","103.890","105.085","103.795","22.29K","1.07%"
"Apr 09, 2024","103.922","103.870","103.975","103.645","9.44K","0.02%"
"Apr 08, 2024","103.902","104.060","104.210","103.860","14.70K","-0.16%"
"Apr 05, 2024","104.071","104.005","104.460","103.910","18.00K","0.17%"
"Apr 04, 2024","103.891","103.980","104.030","103.680","15.52K","-0.10%"
"Apr 03, 2024","103.997","104.530","104.590","103.970","13.46K","-0.54%"
"Apr 02, 2024","104.562","104.735","104.840","104.420","14.86K","-0.19%"
"Apr 01, 2024","104.764","104.250","104.805","104.135","15.08K","0.47%"
"Mar 28, 2024","104.269","104.135","104.450","104.030","13.70K","0.20%"
"Mar 27, 2024","104.064","104.005","104.165","103.920","11.29K","0.07%"
"Mar 26, 2024","103.991","103.925","104.030","103.710","8.55K","0.05%"
"Mar 25, 2024","103.934","104.165","104.190","103.840","15.04K","-0.23%"
"Mar 22, 2024","104.177","103.665","104.200","103.605","19.17K","0.49%"
"Mar 21, 2024","103.666","102.920","103.740","102.830","21.30K","0.60%"
"Mar 20, 2024","103.046","103.530","103.810","103.030","21.29K","-0.42%"
"Mar 19, 2024","103.484","103.220","103.710","103.210","12.88K","0.02%"
"Mar 18, 2024","103.461","103.455","103.475","103.375","0.01K","0.05%"
"Mar 15, 2024","103.414","103.370","103.480","103.300","4.70K","0.07%"
"Mar 14, 2024","103.342","102.745","103.385","102.725","18.03K","0.56%"
"Mar 13, 2024","102.766","102.920","103.000","102.645","18.10K","-0.16%"
"Mar 12, 2024","102.934","102.770","103.315","102.700","15.46K","0.08%"
"Mar 11, 2024","102.852","102.710","102.915","102.610","19.04K","0.16%"
"Mar 08, 2024","102.688","102.735","102.865","102.300","20.51K","-0.08%"
"Mar 07, 2024","102.772","103.255","103.325","102.760","19.52K","-0.53%"
"Mar 06, 2024","103.321","103.785","103.845","103.150","20.16K","-0.42%"
"Mar 05, 2024","103.753","103.780","103.900","103.520","13.60K","-0.02%"
"Mar 04, 2024","103.778","103.795","103.915","103.675","11.54K","-0.02%"
"Mar 01, 2024","103.799","104.060","104.240","103.780","16.88K","-0.29%"
"Feb 29, 2024","104.098","103.890","104.145","103.595","18.00K","0.19%"
"Feb 28, 2024","103.904","103.750","104.170","103.750","12.25K","0.14%"
"Feb 27, 2024","103.759","103.715","103.860","103.540","9.01K","0.01%"
"Feb 26, 2024","103.751","103.890","103.950","103.630","9.87K","-0.10%"
"Feb 23, 2024","103.859","103.885","103.975","103.690","8.63K","-0.02%"
"Feb 22, 2024","103.875","103.850","104.060","103.115","15.40K","-0.04%"
"Feb 21, 2024","103.912","103.950","104.125","103.845","8.82K","-0.06%"
"Feb 20, 2024","103.978","104.250","104.320","103.690","15.48K","-0.20%"
"Feb 19, 2024","104.182","104.170","104.275","104.040","4.98K","0.00%"
"Feb 16, 2024","104.182","104.240","104.580","104.065","13.55K","-0.02%"
"Feb 15, 2024","104.200","104.555","104.625","104.080","14.85K","-0.39%"
"Feb 14, 2024","104.612","104.750","104.875","104.545","12.32K","-0.23%"
"Feb 13, 2024","104.850","104.020","104.855","103.365","22.57K","0.77%"
"Feb 12, 2024","104.047","103.975","104.150","103.765","9.48K","0.05%"
"Feb 09, 2024","103.993","104.045","104.135","103.830","9.46K","-0.04%"
"Feb 08, 2024","104.037","103.885","104.300","103.835","11.24K","0.12%"
"Feb 07, 2024","103.917","103.995","104.025","103.805","11.26K","-0.15%"
"Feb 06, 2024","104.068","104.295","104.450","103.995","15.24K","-0.24%"
"Feb 05, 2024","104.319","103.910","104.465","103.840","20.76K","0.52%"
"Feb 02, 2024","103.781","102.895","103.895","102.735","31.48K","0.88%"
"Feb 01, 2024","102.872","103.380","103.655","102.840","23.80K","-0.21%"
"Jan 31, 2024","103.089","103.250","103.565","102.755","25.38K","-0.12%"
"Jan 30, 2024","103.215","103.180","103.435","102.970","9.41K","-0.20%"
"Jan 29, 2024","103.421","103.305","103.640","103.215","12.27K","0.18%"
"Jan 26, 2024","103.234","103.345","103.535","102.935","14.22K","-0.13%"
"Jan 25, 2024","103.370","103.140","103.485","102.915","15.26K","0.32%"
"Jan 24, 2024","103.039","103.305","103.340","102.555","20.41K","-0.35%"
"Jan 23, 2024","103.402","103.140","103.605","102.780","13.81K","0.28%"
"Jan 22, 2024","103.118","103.035","103.160","102.900","8.96K","0.05%"
"Jan 19, 2024","103.069","103.140","103.325","103.010","9.61K","-0.24%"
"Jan 18, 2024","103.312","103.065","103.405","102.925","12.41K","0.10%"
"Jan 17, 2024","103.206","103.070","103.450","103.025","14.75K","0.09%"
"Jan 16, 2024","103.112","102.560","103.175","102.495","21.05K","0.94%"
"Jan 15, 2024","102.151","102.205","102.410","102.055","5.42K","0.00%"
"Jan 12, 2024","102.151","102.035","102.320","101.815","15.34K","0.12%"
"Jan 11, 2024","102.024","102.040","102.510","101.775","18.69K","-0.05%"
"Jan 10, 2024","102.080","102.230","102.360","102.060","9.35K","-0.20%"
"Jan 09, 2024","102.284","101.935","102.385","101.835","12.11K","0.35%"
"Jan 08, 2024","101.928","102.170","102.340","101.785","11.74K","-0.20%"
"Jan 05, 2024","102.129","102.110","102.830","101.615","18.72K","-0.01%"
"Jan 04, 2024","102.135","102.165","102.245","101.865","10.80K","-0.06%"
"Jan 03, 2024","102.195","101.845","102.420","101.770","11.86K","0.30%"
"Jan 02, 2024","101.891","101.065","101.940","101.030","14.74K","0.85%"
